PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"39739318","Biomaterials for Corneal Regeneration","Li Y, Wang Z.","Adv Sci (Weinh). 2025 Feb;12(6):e2408021. doi: 10.1002/advs.202408021. Epub 2024 Dec 31.","Li Y","Adv Sci (Weinh)","2025","2024/12/31","PMC11809424","","10.1002/advs.202408021"
"39708775","Bacterial clustering biomaterials as anti-infective therapies","Tram NDT, Xu J, Chan KH, Rajamani L, Ee PLR.","Biomaterials. 2025 May;316:123017. doi: 10.1016/j.biomaterials.2024.123017. Epub 2024 Dec 15.","Tram NDT","Biomaterials","2025","2024/12/21","","","10.1016/j.biomaterials.2024.123017"
"39874600","Cell-Instructive Biomaterials with Native-Like Biochemical Complexity","Marjan T, Lafuente-Gómez N, Rampal A, Mooney DJ, Peyton SR, Qazi TH.","Annu Rev Biomed Eng. 2025 May;27(1):185-209. doi: 10.1146/annurev-bioeng-120823-020209. Epub 2025 Jan 28.","Marjan T","Annu Rev Biomed Eng","2025","2025/01/28","PMC12045723","NIHMS2065970","10.1146/annurev-bioeng-120823-020209"
"38716543","Advanced Immunomodulatory Biomaterials for Therapeutic Applications","Park JE, Kim DH.","Adv Healthc Mater. 2025 Feb;14(5):e2304496. doi: 10.1002/adhm.202304496. Epub 2024 May 21.","Park JE","Adv Healthc Mater","2025","2024/05/08","PMC11834384","","10.1002/adhm.202304496"
"40093907","Engineered Probiotic-Based Biomaterials for Inflammatory Bowel Disease Treatment","Sang G, Wang B, Xie Y, Chen Y, Yang F.","Theranostics. 2025 Feb 18;15(8):3289-3315. doi: 10.7150/thno.103983. eCollection 2025.","Sang G","Theranostics","2025","2025/03/17","PMC11905135","","10.7150/thno.103983"
"39958319","Research Progress on Biomaterials for Spinal Cord Repair","Liao Z, Bao Q, Saijilahu, Chimedtseren C, Tumurbaatar K, Saijilafu.","Int J Nanomedicine. 2025 Feb 11;20:1773-1787. doi: 10.2147/IJN.S501121. eCollection 2025.","Liao Z","Int J Nanomedicine","2025","2025/02/17","PMC11829652","","10.2147/IJN.S501121"
"40038692","Graphdiyne biomaterials: from characterization to properties and applications","Zhao LX, Fan YG, Zhang X, Li C, Cheng XY, Guo F, Wang ZY.","J Nanobiotechnology. 2025 Mar 4;23(1):169. doi: 10.1186/s12951-025-03227-y.","Zhao LX","J Nanobiotechnology","2025","2025/03/04","PMC11881411","","10.1186/s12951-025-03227-y"
"39357154","Biomaterials for reliable wearable health monitoring: Applications in skin and eye integration","Hong S, Yu T, Wang Z, Lee CH.","Biomaterials. 2025 Mar;314:122862. doi: 10.1016/j.biomaterials.2024.122862. Epub 2024 Sep 29.","Hong S","Biomaterials","2025","2024/10/02","PMC11787905","NIHMS2048347","10.1016/j.biomaterials.2024.122862"
"40367018","Biological responses to biomaterials: a review","Gomes YVR, Tavares AA, Barbosa RC, Tomaz AF, Sousa WJB, Oliveira LCC, Silva SML, Fook MVL.","Braz J Med Biol Res. 2025 May 9;58:e14599. doi: 10.1590/1414-431X2025e14599. eCollection 2025.","Gomes YVR","Braz J Med Biol Res","2025","2025/05/14","PMC12068782","","10.1590/1414-431X2025e14599"
"39498750","3D-Printed Polymeric Biomaterials for Health Applications","Zhu Y, Guo S, Ravichandran D, Ramanathan A, Sobczak MT, Sacco AF, Patil D, Thummalapalli SV, Pulido TV, Lancaster JN, Yi J, Cornella JL, Lott DG, Chen X, Mei X, Zhang YS, Wang L, Wang X, Zhao Y, Hassan MK, Chambers LB, Theobald TG, Yang S, Liang L, Song K.","Adv Healthc Mater. 2025 Jan;14(1):e2402571. doi: 10.1002/adhm.202402571. Epub 2024 Nov 5.","Zhu Y","Adv Healthc Mater","2025","2024/11/05","PMC11694096","","10.1002/adhm.202402571"
